latitud,longitud,tension,disponibilidad,comunidad autonoma,provincia,municipio,codigo,comentario
41.36849801,2.12287297,,182.5,Catalunya,Barcelona,Hospitalet de Llobregat,08100,
41.61947998,2.11163941,,58.4,Catalunya,Barcelona,Sentmenat,08267,
41.42715181,1.82131816,,91.4,Catalunya,Barcelona,Subirats,08273,
41.40334403,2.19273051,,160.8,Catalunya,Barcelona,Barcelona,08900,
41.40334403,2.19273051,,73.3,Catalunya,Barcelona,Barcelona,08900,
41.7022067,2.73174871,,119.8,Catalunya,Barcelona,Tordera,08284,
41.7022067,2.73174871,,119.8,Catalunya,Barcelona,Tordera,08284,
41.44847434,2.18909026,,178.1,Catalunya,Barcelona,Barcelona,08900,
41.38811109,2.14680351,,236.1,Catalunya,Barcelona,Barcelona,08900,
41.24961336,1.86543639,,22.7,Catalunya,Barcelona,Sitges,08270,
41.24961336,1.86543639,,22.7,Catalunya,Barcelona,Sitges,08270,
41.32521032,2.02825206,,22.5,Catalunya,Barcelona,Viladecans,08302,
41.32521032,2.02825206,,267.6,Catalunya,Barcelona,Viladecans,08302,
41.39220764,2.18223698,,135.6,Catalunya,Barcelona,Barcelona,08900,
41.39220764,2.18223698,,220.4,Catalunya,Barcelona,Barcelona,08900,
41.97309338,2.69518193,,213.5,Catalunya,Girona,Bescano,17023,
41.97309338,2.69518193,,22.6,Catalunya,Girona,Bescano,17023,
41.73143974,2.57043035,,110.9,Catalunya,Girona,Sant Feliu de Buixalleu,17169,
41.73143974,2.57043035,,55.3,Catalunya,Girona,Sant Feliu de Buixalleu,17169,
41.80691168,3.03461439,,161.8,Catalunya,Girona,Castell Platja d Aro,17053,
41.80691168,3.03461439,,110.6,Catalunya,Girona,Castell Platja d Aro,17053,
41.86243117,2.89793562,,132.4,Catalunya,Girona,Cassa de la Selva,17049,
41.86243117,2.89793562,,65.5,Catalunya,Girona,Cassa de la Selva,17049,
41.92966886,3.15102557,,104.1,Catalunya,Girona,Palafrugell,17124,
41.92966886,3.15102557,,104.1,Catalunya,Girona,Palafrugell,17124,
41.94121353,2.79466435,,146.2,Catalunya,Girona,Fornells de la Selva,17078,
42.02252418,2.9006823,,264.5,Catalunya,Girona,Julia,17094,
42.02252418,2.9006823,,76.3,Catalunya,Girona,Julia,17094,
41.72156455,2.86317362,,153.3,Catalunya,Girona,Lloret de Mar,17102,
41.72156455,2.86317362,,95.9,Catalunya,Girona,Lloret de Mar,17102,
41.96944194,2.80125011,,190.1,Catalunya,Girona,Salt,17164,
41.96944194,2.80125011,,110,Catalunya,Girona,Salt,17164,
41.80555898,2.75240074,,39.7,Catalunya,Girona,Sils,17205,
41.80555898,2.75240074,,39.7,Catalunya,Girona,Sils,17205,
41.87882152,3.12040923,,125.6,Catalunya,Girona,Vall llobrega,17223,
41.87882152,3.12040923,,60.7,Catalunya,Girona,Vall llobrega,17223,
41.9619479,2.80332508,,20.7,Catalunya,Girona,Girona,17085,
41.9619479,2.80332508,,20.7,Catalunya,Girona,Girona,17085,
41.9619479,2.80332508,,20.7,Catalunya,Girona,Girona,17085,
41.57739768,0.62231927,,68.3,Catalunya,Lleida,Albatarrec,25007,
41.11837087,0.64171052,,2.6,Catalunya,Tarragona,Garcia,43066,
41.1153573,1.16347191,,147.7,Catalunya,Tarragona,Reus,43125,
41.08345073,1.03818037,,79.1,Catalunya,Tarragona,Cambrils,43038,
41.08345073,1.03818037,,79.1,Catalunya,Tarragona,Cambrils,43038,
41.13532271,1.22452166,,94,Catalunya,Tarragona,Tarragona,43900,
41.20901383,1.14994644,,80.8,Catalunya,Tarragona,La Selva del Camp,43147,
41.19451449,1.24847746,,4.4,Catalunya,Tarragona,Perafort,43105,
41.14219482,0.88826899,,25,Catalunya,Tarragona,Pradell de la Teixeta,43117,
41.28336583,1.29117421,,2.7,Catalunya,Tarragona,Puigpelat,43121,
41.16790311,1.10649463,,65.1,Catalunya,Tarragona,Reus,43125,
41.16790311,1.10649463,,65.1,Catalunya,Tarragona,Reus,43125,
41.16790311,1.10649463,,24.6,Catalunya,Tarragona,Reus,43125,
41.24230535,0.43100613,,5.3,Catalunya,Tarragona,RIBA ROJA D EBRE,43127,
41.16050547,1.18723999,,69,Catalunya,Tarragona,CONSTANTI,43048,
41.16050547,1.18723999,,33.9,Catalunya,Tarragona,CONSTANTI,43048,
41.11390873,1.19810633,,194.6,Catalunya,Tarragona,Tarragona,43900,
40.97266691,0.87720681,,52.7,Catalunya,Tarragona,VANDELLOS,43164,
40.97266691,0.87720681,,52.7,Catalunya,Tarragona,VANDELLOS,43164,
41.20335522,1.50727294,,7.3,Catalunya,Tarragona,El Vendrell,,No se encuentra
41.29387979,1.94395943,,22.7,Catalunya,,Gava,,No se encuentra
41.3360965,2.10328514,,188.7,Catalunya,,Barcelona,,No se encuentra
41.3360965,2.10328514,,161.6,Catalunya,,Barcelona,,No se encuentra
41.34538351,2.13029531,,103.3,Catalunya,,Barcelona,,No se encuentra
41.42717043,2.19935338,,105.9,Catalunya,,Alcúdia,,No se encuentra
41.95711023,2.28212219,,243.4,Catalunya,,Vic,,No se encuentra
41.95711023,2.28212219,,159.4,Catalunya,,Vic,,No se encuentra
41.39589281,1.13449775,,2.4,Catalunya,,Montblanc,,No se encuentra
